"filename", "language", "C", "C++", "comment", "blank", "total"
"/Users/jvvd/Documents/C_file/practice_1/function/creat.c", "C", 30, 0, 0, 0, 30
"/Users/jvvd/Documents/C_file/practice_1/function/delete_repeat.c", "C", 19, 0, 2, 1, 22
"/Users/jvvd/Documents/C_file/practice_1/function/intersection.c", "C", 24, 0, 0, 1, 25
"/Users/jvvd/Documents/C_file/practice_1/function/list_add.c", "C", 18, 0, 4, 1, 23
"/Users/jvvd/Documents/C_file/practice_1/function/output_list.c", "C", 10, 0, 0, 1, 11
"/Users/jvvd/Documents/C_file/practice_1/function/sort.c", "C", 41, 0, 5, 5, 51
"/Users/jvvd/Documents/C_file/practice_1/function/substraction.c", "C", 29, 0, 0, 3, 32
"/Users/jvvd/Documents/C_file/practice_1/function2/creat_array.c", "C", 9, 0, 0, 0, 9
"/Users/jvvd/Documents/C_file/practice_1/function2/delete_repeat_array.c", "C", 19, 0, 0, 0, 19
"/Users/jvvd/Documents/C_file/practice_1/function2/intersectionlist.c", "C", 15, 0, 0, 0, 15
"/Users/jvvd/Documents/C_file/practice_1/function2/output_array.c", "C", 9, 0, 0, 0, 9
"/Users/jvvd/Documents/C_file/practice_1/function2/sort_array.c", "C", 17, 0, 0, 0, 17
"/Users/jvvd/Documents/C_file/practice_1/function2/substractionlist.c", "C", 22, 0, 0, 0, 22
"/Users/jvvd/Documents/C_file/practice_1/function2/unionlist.c", "C", 12, 0, 0, 0, 12
"/Users/jvvd/Documents/C_file/practice_1/main.c", "C", 70, 0, 0, 15, 85
"/Users/jvvd/Documents/C_file/practice_1/main.h", "C++", 0, 27, 0, 6, 33
"Total", "-", 344, 27, 11, 33, 415
